Burr_PD_L1_CMTM6_INFr_LFC	Freeman_B16F10_MHCI_Low_LFC	Freeman_B16F10_NK_LFC	Haney_U937_iggRBC_LFC	Haney_U937_Zymosin_LFC	Henriksson_mNaiveTh_GATA3_r1_LFC	Jiang_Daudi_B_CD40_r1_LFC	Kearney_B16F10_OT_I_LFC	Kearney_MC38_OT_I_aPD1_LFC	Kearney_MC38_OT_I_IgG_LFC	Liu_HSC4_DoxvsnoDox_shADAR_LFC	Manguso_GVAX_only_vs_TCRa_KO_LFC	Manguso_GVAX_PD_1_vs_TCRa_KO_LFC	Manguso_TCRa_KO_vs_In_vitro_LFC	Pan_B16F10_Pmel_1_IFNg_LFC	Parnas_BMDCs_TNF_r1_LFC	Pech_K562_MHCI_r1_LFC	Pech_K562_NK_92_r1_LFC	Ritchie_U937_cGAMP_r1_LFC	Shifrut_pilot_mean_LFC	Shifrut_d1234_LFC	Vredevoogd_IFNGR1mut_SKCM_MART_1_1r_LFC
0A10	NA	NA	NA	-0.13918	-0.18723	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0A11	NA	NA	NA	0.027453	-0.11861	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0A15	NA	NA	NA	-0.74682	-0.12014	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0A16	NA	NA	NA	0.11396	0.080976	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0A20	NA	NA	NA	-0.32684	0.051404	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0A25	NA	NA	NA	0.31631	0.35734	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0A30	NA	NA	NA	-0.083215	-0.0098576	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0A35	NA	NA	NA	-0.3189	-0.026006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0A38	NA	NA	NA	-0.16146	0.40843	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0A40	NA	NA	NA	0.25641	-0.092762	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0A50	NA	NA	NA	-0.21359	0.26651	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0A60	NA	NA	NA	-0.18769	-0.093361	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0AA	NA	NA	NA	-0.14665	-0.16805	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0ALAD2	NA	NA	NA	0.12649	-0.092573	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0ALADL1	NA	NA	NA	0.0061744	0.046195	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0ALADL2	NA	NA	NA	0.011297	-0.087141	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0B1	NA	NA	NA	-0.2527	0.25214	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0B2	NA	NA	NA	-0.25268	0.024127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0BP1	NA	NA	NA	-0.25077	0.061481	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0BP2	NA	NA	NA	-0.099369	-0.077916	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0CA	NA	NA	NA	0.15903	0.021607	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0CA2	NA	NA	NA	0.42867	-0.15879	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0CAD	NA	NA	NA	0.12154	-0.098246	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0CC1	NA	NA	NA	0.11876	-0.053677	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0CC2	NA	NA	NA	0.048128	-0.02292	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0DK	NA	NA	NA	0.35795	-0.019449	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0DK2	NA	NA	NA	-0.1431	0.21126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0DSYN1	NA	NA	NA	0.17287	-0.048079	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0E1	NA	NA	NA	0.084502	0.23475	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0F1	NA	NA	NA	-0.13369	0.023814	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0GA	NA	NA	NA	0.25496	-0.060318	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0GK	NA	NA	NA	0.21957	0.22651	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0GLU	NA	NA	NA	-0.28164	-0.0030299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0GPA	NA	NA	NA	0.068372	-0.018774	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0GS	NA	NA	NA	-0.17886	-0.044477	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0IF1	NA	NA	NA	0.17297	-0.012233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0IP	NA	NA	NA	0.0018812	-0.0062249	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0LCN	NA	NA	NA	-0.25635	-0.048249	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0MPT	NA	NA	NA	-0.14436	-0.017095	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0MPTL	NA	NA	NA	-0.21715	0.11654	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0NOG	NA	NA	NA	-0.30924	0.0023521	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0NOGNB	NA	NA	NA	-0.10593	-0.050305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0NOS1	NA	NA	NA	-0.040097	0.027908	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
0NOS2	NA	NA	NA	0.22548	0.0026315	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
