file_name_all	KO_type	Treatment_type
Burr_PD_L1_CMTM6_INFr	Tumor_KO	IFNr_treatment
Freeman_B16F10_MHCI_Low	Tumor_KO	IFNr_treatment
Freeman_B16F10_NK	Tumor_KO	NK_coculture
Haney_U937_iggRBC	Immunecell_KO	phagocytosis
Haney_U937_Zymosin	Immunecell_KO	phagocytosis
Henriksson_mNaiveTh_GATA3_r1	Immunecell_KO	Tcell
Jiang_Daudi_B_CD40_r1	Immunecell_KO	Bcell
Kearney_B16F10_OT_I	Tumor_KO	Tcell_coculture
Kearney_MC38_OT_I_aPD1	Tumor_KO	Tcell_coculture
Kearney_MC38_OT_I_IgG	Tumor_KO	Tcell_coculture
Liu_HSC4_DoxvsnoDox_shADAR	Tumor_KO	Dox_treatment
Manguso_GVAX_only_vs_TCRa_KO	Tumor_KO	Tcell_coculture
Manguso_GVAX_PD_1_vs_TCRa_KO	Tumor_KO	Tcell_coculture
Manguso_TCRa_KO_vs_In_vitro	Tumor_KO	Tcell_coculture
Pan_B16F10_Pmel_1_IFNg	Tumor_KO	Tcell_coculture
Parnas_BMDCs_TNF_r1	Immunecell_KO	BMDCs
Pech_K562_MHCI_r1	Tumor_KO	IFNr_treatment
Pech_K562_NK_92_r1	Tumor_KO	NK_coculture
Ritchie_U937_cGAMP_r1	Immunecell_KO	macrophage
Shifrut_pilot_mean	Immunecell_KO	Tcell
Shifrut_d1234	Immunecell_KO	Tcell
Vredevoogd_IFNGR1mut_SKCM_MART_1_1r	Tumor_KO	Tcell_coculture
